선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,연봉(2018),연봉(2017)
최정,SK,130,527,430,136,46,89,113,70,107,1,0.316,0.316,0.427,0.684,1.111,0.442,7.3,120000,120000
최형우,KIA,142,629,514,176,26,98,120,96,82,0,0.362,0.342,0.45,0.576,1.026,0.43,7.2,150000,150000
박건우,두산,131,543,483,177,20,91,78,41,64,20,0.39,0.366,0.424,0.582,1.006,0.424,7.04,37000,19500
나성범,NC,125,561,498,173,24,103,99,48,116,17,0.413,0.347,0.415,0.584,0.999,0.416,5.64,43000,35000
손아섭,롯데,144,667,576,193,20,113,80,83,96,25,0.374,0.335,0.42,0.514,0.934,0.398,5.6,150000,65000
김선빈,KIA,137,529,476,176,5,84,64,39,40,4,0.393,0.37,0.42,0.477,0.897,0.391,5.19,28000,8000
버나디나,KIA,139,621,557,178,27,118,111,41,112,32,0.354,0.32,0.373,0.54,0.913,0.38,5.01,75000,75000
박민우,NC,106,452,388,141,3,84,47,46,51,11,0.408,0.363,0.441,0.472,0.913,0.404,4.92,32000,25000
김하성,넥센,141,601,526,159,23,90,114,58,65,16,0.306,0.302,0.376,0.513,0.889,0.375,4.76,32000,22000
스크럭스,NC,115,518,437,131,35,91,111,65,134,4,0.353,0.3,0.402,0.595,0.997,0.411,4.7,70000,80000
러프,삼성,134,591,515,162,31,90,124,60,107,2,0.344,0.315,0.396,0.569,0.965,0.402,4.59,140000,110000
구자욱,삼성,144,647,564,175,21,108,107,63,138,10,0.371,0.31,0.383,0.527,0.91,0.382,4.28,25000,16000
안치홍,KIA,132,545,487,154,21,95,93,43,70,7,0.332,0.316,0.373,0.513,0.886,0.374,4.23,32000,22000
한동민,SK,103,414,350,103,29,64,73,46,79,2,0.302,0.294,0.396,0.614,1.01,0.414,3.92,15000,7000
서건창,넥센,139,615,539,179,6,87,76,67,68,15,0.367,0.332,0.403,0.429,0.832,0.368,3.9,38000,40000
나지완,KIA,137,551,459,138,27,85,94,62,105,1,0.332,0.301,0.405,0.534,0.939,0.398,3.87,60000,60000
이대호,롯데,142,608,540,173,34,73,111,50,84,1,0.327,0.32,0.391,0.533,0.924,0.388,3.86,250000,250000
박용택,LG,138,596,509,175,14,83,90,72,88,4,0.387,0.344,0.424,0.479,0.903,0.391,3.67,80000,80000
이정후,넥센,144,622,552,179,2,111,47,60,67,12,0.365,0.324,0.395,0.417,0.812,0.36,3.41,11000,2700
전준우,롯데,110,496,455,146,18,76,69,30,70,2,0.347,0.321,0.37,0.503,0.873,0.371,3.18,27000,20500
오재일,두산,128,466,412,126,26,62,89,45,80,1,0.324,0.306,0.378,0.561,0.939,0.392,3.12,30000,19800
정근우,한화,105,442,391,129,11,73,46,32,48,6,0.352,0.33,0.392,0.471,0.863,0.374,3.01,70000,70000
김태균,한화,94,407,356,121,17,51,76,43,56,0,0.362,0.34,0.413,0.545,0.958,0.401,2.96,160000,160000
손시헌,NC,124,391,349,122,5,32,45,16,44,1,0.384,0.35,0.386,0.447,0.833,0.364,2.93,50000,40000
번즈,롯데,116,468,423,128,15,71,57,29,100,10,0.363,0.303,0.361,0.499,0.86,0.367,2.87,73000,60000
이범호,KIA,115,447,382,104,25,57,89,52,81,0,0.28,0.272,0.365,0.505,0.87,0.364,2.85,65000,65000
양의지,두산,111,406,347,96,14,47,67,43,53,1,0.29,0.277,0.373,0.441,0.814,0.355,2.76,60000,48000
이성열,한화,81,318,280,86,21,41,65,19,80,3,0.353,0.307,0.364,0.596,0.96,0.393,2.53,25000,23000
유강남,LG,118,364,324,90,17,43,66,14,72,2,0.308,0.278,0.335,0.475,0.81,0.345,2.36,18500,10000
송광민,한화,117,473,437,143,13,71,75,21,88,2,0.378,0.327,0.356,0.476,0.832,0.354,2.29,24000,20000
권희동,NC,141,554,472,135,19,72,86,52,90,3,0.314,0.286,0.371,0.458,0.829,0.358,2.16,13000,6800
정현,KT,124,399,350,105,6,45,42,18,69,4,0.356,0.3,0.369,0.426,0.795,0.352,2.15,7800,2800
김재호,두산,91,331,283,83,7,34,50,36,52,7,0.33,0.293,0.372,0.438,0.81,0.351,2.04,65000,65000
김주찬,KIA,122,478,440,136,12,78,70,31,59,9,0.335,0.309,0.359,0.489,0.848,0.362,2.03,40000,60000
이명기,KIA,115,512,464,154,9,79,63,28,57,8,0.362,0.332,0.371,0.459,0.83,0.359,1.99,25000,15000
로맥,SK,102,416,359,87,31,58,64,50,116,1,0.263,0.242,0.344,0.554,0.898,0.367,1.96,50000,30000
최주환,두산,129,452,399,120,7,65,57,38,58,3,0.333,0.301,0.37,0.424,0.794,0.347,1.84,20000,10000
나주환,SK,122,452,419,122,19,69,65,19,85,0,0.326,0.291,0.329,0.489,0.818,0.342,1.79,30000,15000
김민성,넥센,133,530,472,133,15,59,78,43,93,0,0.317,0.282,0.345,0.436,0.781,0.336,1.75,35000,37000
박경수,KT,131,511,442,116,15,62,66,57,118,1,0.324,0.262,0.352,0.43,0.782,0.337,1.64,23000,23000
박석민,NC,101,382,319,78,14,43,56,50,92,1,0.3,0.245,0.369,0.423,0.792,0.35,1.62,75000,75000
오지환,LG,107,390,334,91,8,47,39,45,105,10,0.367,0.272,0.362,0.407,0.769,0.336,1.57,29000,35000
모창민,NC,136,527,474,148,17,64,90,39,81,9,0.34,0.312,0.361,0.485,0.846,0.357,1.55,18500,11700
유한준,KT,133,497,445,136,13,52,68,45,59,0,0.327,0.306,0.37,0.436,0.806,0.35,1.49,60000,60000
정의윤,SK,112,381,349,112,15,44,45,19,61,0,0.35,0.321,0.367,0.496,0.863,0.368,1.45,30000,30000
이종욱,NC,107,355,318,98,5,52,34,28,30,9,0.326,0.308,0.371,0.403,0.774,0.344,1.45,20000,50000
조동찬,삼성,122,393,353,102,10,35,46,22,72,3,0.335,0.289,0.344,0.439,0.783,0.34,1.37,40000,40000
하주석,한화,111,470,432,123,11,69,52,23,83,7,0.33,0.285,0.328,0.44,0.768,0.328,1.32,12000,9000
고종욱,넥센,123,453,426,133,8,70,54,22,92,16,0.381,0.312,0.349,0.462,0.811,0.345,1.27,11000,12000
장영석,넥센,60,212,186,50,12,30,38,17,50,0,0.306,0.269,0.358,0.538,0.896,0.377,1.25,6000,3600
이원석,삼성,121,459,411,109,18,55,62,34,80,2,0.285,0.265,0.323,0.45,0.773,0.326,1.17,30000,30000
오정복,KT,81,213,195,69,2,24,16,9,24,0,0.394,0.354,0.395,0.451,0.846,0.374,1.16,7000,7000
박세혁,두산,97,237,201,57,5,41,26,19,44,2,0.333,0.284,0.354,0.398,0.752,0.332,1.1,10000,6000
박동원,넥센,103,284,256,69,11,33,39,17,56,2,0.305,0.27,0.321,0.434,0.755,0.323,1.1,18000,20000
이해창,KT,114,283,254,69,11,33,44,19,50,1,0.297,0.272,0.322,0.445,0.767,0.325,1,7100,4500
박해민,삼성,144,638,570,162,7,96,54,50,78,40,0.313,0.284,0.338,0.393,0.731,0.318,0.95,29000,23000
배영섭,삼성,92,244,218,66,6,39,26,19,44,1,0.355,0.303,0.365,0.445,0.81,0.351,0.91,13000,15000
김동엽,SK,125,428,393,109,22,58,70,23,62,2,0.279,0.277,0.329,0.496,0.825,0.345,0.86,11500,4700
안익훈,LG,108,248,219,70,1,38,15,18,28,3,0.359,0.32,0.379,0.356,0.735,0.335,0.78,9000,5000
이상호,NC,95,241,227,76,0,33,15,7,15,12,0.358,0.335,0.36,0.37,0.73,0.329,0.69,7500,4800
오선진,한화,65,209,184,57,2,23,21,15,22,3,0.34,0.31,0.371,0.402,0.773,0.344,0.65,8600,7600
최원준,KIA,72,174,156,48,3,27,27,10,20,3,0.331,0.308,0.351,0.462,0.813,0.349,0.63,7500,3100
서동욱,KIA,125,366,319,90,7,49,48,33,86,1,0.362,0.282,0.352,0.42,0.772,0.337,0.63,18500,15000
김성훈,삼성,47,166,151,48,0,27,18,12,16,4,0.353,0.318,0.37,0.371,0.741,0.332,0.59,4700,2700
양성우,한화,118,417,358,99,2,42,40,38,51,4,0.316,0.277,0.363,0.372,0.735,0.333,0.57,10000,8000
이형종,LG,128,434,377,100,9,57,44,40,73,11,0.306,0.265,0.351,0.385,0.736,0.329,0.56,10500,6000
김태완,넥센,46,100,90,28,4,14,7,9,24,0,0.387,0.311,0.38,0.5,0.88,0.377,0.52,6000,5000
김태완,넥센,46,100,90,28,4,14,7,9,24,0,0.387,0.311,0.38,0.5,0.88,0.377,0.52,6000,2400
황진수,롯데,60,133,117,34,1,18,16,10,38,4,0.418,0.291,0.359,0.402,0.761,0.336,0.51,6200,2800
정훈,롯데,68,136,109,27,1,16,6,18,28,3,0.321,0.248,0.376,0.385,0.761,0.343,0.51,10000,15000
김문호,롯데,131,448,390,114,2,49,35,37,73,9,0.354,0.292,0.372,0.356,0.728,0.33,0.46,15000,14000
김재율,LG,75,198,181,55,6,21,28,10,35,0,0.348,0.304,0.345,0.453,0.798,0.344,0.4,6800,2900
정진호,두산,97,224,198,56,5,43,31,19,32,1,0.313,0.283,0.345,0.434,0.779,0.334,0.37,8500,4700
이천웅,LG,75,266,232,66,2,35,27,24,45,7,0.346,0.284,0.366,0.371,0.737,0.332,0.35,8000,9300
이대수,SK,58,124,105,29,0,18,4,10,20,3,0.341,0.276,0.35,0.343,0.693,0.316,0.35,7000,35000
노수광,SK,126,406,367,106,6,71,39,22,81,15,0.351,0.289,0.338,0.403,0.741,0.323,0.34,13000,6800
최항,SK,37,116,106,34,1,14,16,3,29,0,0.423,0.321,0.351,0.425,0.776,0.339,0.33,4200,0
조용호,SK,69,225,191,52,0,34,10,25,39,11,0.342,0.272,0.365,0.319,0.684,0.319,0.32,6200,3100
강한울,삼성,135,448,412,125,0,58,24,26,57,12,0.351,0.303,0.344,0.34,0.684,0.308,0.3,15500,9000
강진성,NC,28,32,27,8,1,5,5,4,4,0,0.318,0.296,0.406,0.519,0.925,0.399,0.29,3000,2700
최재훈,한화,98,301,262,66,1,21,15,25,36,0,0.289,0.252,0.336,0.302,0.638,0.297,0.29,8000,5800
심우준,KT,103,303,286,82,4,38,26,8,58,18,0.347,0.287,0.314,0.395,0.709,0.308,0.28,6300,5000
이성우,SK,64,125,111,31,1,6,14,6,17,0,0.323,0.279,0.322,0.351,0.673,0.301,0.27,9000,6000
박헌도,롯데,56,130,113,29,4,19,13,14,27,0,0.305,0.257,0.354,0.398,0.752,0.334,0.21,7200,5600
박정권,SK,118,345,305,78,16,37,51,31,78,1,0.287,0.256,0.328,0.466,0.794,0.334,0.21,40000,40000
양석환,LG,132,496,445,117,14,62,83,38,93,3,0.3,0.263,0.326,0.431,0.757,0.323,0.2,16000,9000
지석훈,NC,121,304,268,64,6,29,24,22,67,1,0.294,0.239,0.318,0.366,0.684,0.304,0.2,15000,14900
권정웅,삼성,61,112,99,21,6,11,11,8,31,0,0.242,0.212,0.278,0.424,0.702,0.295,0.15,4500,3000
정상호,LG,79,150,137,36,3,16,17,4,32,0,0.324,0.263,0.308,0.35,0.658,0.294,0.14,50000,50000
이택근,넥센,100,269,241,67,3,27,29,25,58,0,0.354,0.278,0.347,0.386,0.733,0.324,0.12,50000,50000
박한이,삼성,68,134,118,31,4,14,14,13,33,0,0.329,0.263,0.333,0.441,0.774,0.326,0.11,25000,45000
노관현,KIA,9,6,6,3,0,0,1,0,2,0,0.75,0.5,0.5,0.5,1,0.449,0.09,3000,2700
김성현,SK,130,429,380,103,4,45,29,34,28,2,0.283,0.271,0.336,0.339,0.675,0.305,0.09,25000,28000
김헌곤,삼성,123,404,356,94,9,51,47,29,45,11,0.279,0.264,0.331,0.388,0.719,0.316,0.07,8500,5000
임익준,한화,30,47,36,9,0,7,2,7,8,1,0.321,0.25,0.372,0.278,0.65,0.312,0.07,3800,3500
김주성,LG,2,1,1,1,0,1,0,0,0,0,1,1,1,1,2,0.898,0.06,2900,2700
장성우,KT,118,348,294,68,8,28,46,43,59,0,0.259,0.231,0.328,0.357,0.685,0.304,0.06,7300,5000
김회성,한화,54,103,85,20,3,10,13,13,24,0,0.283,0.235,0.343,0.388,0.731,0.323,0.05,5800,5500
이재원,SK,114,350,314,76,9,32,42,16,55,0,0.264,0.242,0.292,0.376,0.668,0.29,0.04,35000,35000
최정민,KIA,8,9,9,3,0,1,1,0,4,0,0.6,0.333,0.333,0.444,0.777,0.337,0.03,5500,5500
허정협,넥센,83,266,228,54,9,35,39,24,73,1,0.306,0.237,0.34,0.395,0.735,0.325,0.03,4500,3300
김진곤,KT,28,40,39,11,2,9,8,1,11,1,0.346,0.282,0.3,0.462,0.762,0.319,0.02,3300,3000
윤진호,LG,14,3,3,1,0,1,1,0,1,0,0.5,0.333,0.333,0.333,0.666,0.299,0.01,4200,4000
이진영,KT,103,285,263,76,2,28,31,17,34,0,0.326,0.289,0.335,0.418,0.753,0.327,0.01,40000,40000
박유연,두산,3,3,3,1,0,0,0,0,2,0,1,0.333,0.333,0.333,0.666,0.299,0,2800,2700
최영진,삼성,14,22,20,4,1,4,4,1,4,1,0.2,0.2,0.238,0.55,0.788,0.297,-0.01,3300,3000
송성문,넥센,38,90,77,21,1,11,8,10,16,0,0.328,0.273,0.36,0.338,0.698,0.317,-0.02,3500,3000
김지성,KIA,37,49,47,11,2,6,4,1,14,1,0.29,0.234,0.265,0.426,0.691,0.29,-0.02,4000,3800
김용의,LG,60,189,164,44,0,17,8,19,49,9,0.383,0.268,0.344,0.329,0.673,0.307,-0.03,9000,12000
강구성,NC,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03,2700,2700
나경민,롯데,97,129,117,30,1,37,11,7,37,20,0.363,0.256,0.307,0.359,0.666,0.292,-0.04,5800,3600
이창열,한화,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.04,3200,3200
허경민,두산,130,422,369,95,3,50,40,29,48,8,0.288,0.257,0.327,0.347,0.674,0.304,-0.05,26500,30000
정주후,KT,7,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.05,3000,2900
임병욱,넥센,21,46,42,10,1,10,7,3,14,2,0.321,0.238,0.283,0.381,0.664,0.284,-0.06,5000,6500
최병연,KIA,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.06,3300,3300
안주형,삼성,10,10,10,3,0,0,2,0,1,0,0.333,0.3,0.3,0.4,0.7,0.303,-0.07,3100,2700
오준혁,KIA,14,13,12,3,0,1,1,1,3,0,0.333,0.25,0.308,0.25,0.558,0.262,-0.07,4000,4200
김규민,넥센,14,23,21,5,0,5,2,1,6,0,0.333,0.238,0.304,0.333,0.637,0.283,-0.07,2900,2700
조평호,NC,29,52,44,10,1,4,4,6,13,0,0.3,0.227,0.333,0.364,0.697,0.313,-0.07,3500,3500
이우성,두산,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.07,2800,2800
김만수,KT,10,6,6,1,0,0,0,0,3,0,0.333,0.167,0.167,0.167,0.334,0.15,-0.09,3100,3000
최승준,SK,31,98,90,21,6,11,16,7,34,0,0.3,0.233,0.296,0.478,0.774,0.321,-0.1,5600,6200
김혜성,넥센,16,17,16,3,0,1,2,1,6,0,0.3,0.188,0.235,0.313,0.548,0.24,-0.1,2900,2700
홍성갑,넥센,7,8,7,1,0,0,0,1,5,0,0.5,0.143,0.25,0.143,0.393,0.201,-0.1,3000,3600
이인행,KIA,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.1,3200,3100
류지혁,두산,125,330,297,77,3,60,26,21,55,7,0.31,0.259,0.317,0.36,0.677,0.3,-0.11,9500,5700
백용환,KIA,15,20,17,3,0,2,1,3,3,0,0.214,0.176,0.3,0.176,0.476,0.242,-0.11,5300,5500
서상우,LG,10,17,13,1,1,4,2,3,8,1,0,0.077,0.294,0.308,0.602,0.252,-0.11,3500,5500
조수행,두산,80,52,47,13,0,17,2,4,12,3,0.371,0.277,0.346,0.319,0.665,0.308,-0.12,4500,3600
나종덕,롯데,5,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.12,2800,2700
문규현,롯데,110,337,304,82,6,38,42,10,42,2,0.293,0.27,0.295,0.391,0.686,0.293,-0.13,18000,12000
김성윤,삼성,22,14,12,1,1,3,2,2,7,0,0,0.083,0.214,0.333,0.547,0.232,-0.13,3000,2700
박성한,SK,2,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.13,2700,2700
전민수,KT,55,145,130,36,1,20,8,11,25,2,0.333,0.277,0.331,0.362,0.693,0.308,-0.14,5100,5000
이용규,한화,57,200,179,47,0,31,12,17,20,10,0.294,0.263,0.332,0.318,0.65,0.297,-0.14,40000,90000
문선재,LG,35,107,92,24,2,17,14,10,24,0,0.324,0.261,0.333,0.413,0.746,0.322,-0.15,7000,8000
김성욱,NC,124,347,308,76,6,60,31,24,59,10,0.282,0.247,0.315,0.39,0.705,0.305,-0.15,10500,10000
장준원,LG,8,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.15,3400,3200
강상원,한화,33,14,14,3,0,8,1,0,5,0,0.333,0.214,0.214,0.286,0.5,0.216,-0.16,3000,2700
이호신,KIA,12,8,7,1,0,3,0,1,3,0,0.25,0.143,0.25,0.143,0.393,0.201,-0.16,3800,4000
오태곤,KT,122,384,355,104,8,48,38,12,85,11,0.358,0.293,0.316,0.448,0.764,0.324,-0.17,8300,6000
한승택,KIA,96,91,83,19,0,7,7,6,25,0,0.328,0.229,0.289,0.277,0.566,0.259,-0.17,7500,3100
홍현빈,KT,8,6,6,0,0,1,0,0,4,1,0,0,0,0,0,0,-0.17,2900,2700
이현동,삼성,16,16,16,3,0,1,0,0,7,1,0.333,0.188,0.188,0.25,0.438,0.189,-0.2,3000,2800
남태혁,KT,31,68,60,15,2,8,11,6,20,0,0.333,0.25,0.324,0.367,0.691,0.305,-0.21,3300,3000
박광열,NC,60,66,63,12,1,5,1,2,18,0,0.25,0.19,0.215,0.381,0.596,0.246,-0.23,3600,3000
신진호,NC,9,12,12,1,0,1,0,0,5,0,0.143,0.083,0.083,0.167,0.25,0.103,-0.23,2800,2700
조윤준,LG,25,43,38,9,0,3,8,2,6,0,0.273,0.237,0.268,0.237,0.505,0.232,-0.24,4000,3000
이재율,NC,52,27,24,4,0,16,1,0,9,9,0.267,0.167,0.231,0.167,0.398,0.199,-0.24,3200,3000
박준혁,한화,8,10,10,1,0,1,0,0,4,0,0.167,0.1,0.1,0.1,0.2,0.09,-0.24,3000,2900
김민혁,두산,18,21,21,4,0,1,2,0,6,0,0.267,0.19,0.19,0.286,0.476,0.203,-0.25,3000,0
김민수,삼성,13,22,21,3,0,2,3,1,8,0,0.231,0.143,0.182,0.19,0.372,0.17,-0.25,3300,3000
김재현,SK,14,4,4,0,0,3,0,0,2,1,0,0,0,0,0,0,-0.26,5100,7000
오재원,두산,127,390,334,79,7,43,40,47,85,7,0.294,0.237,0.332,0.353,0.685,0.306,-0.27,55000,55000
김동한,롯데,81,205,178,42,3,26,14,14,25,4,0.26,0.236,0.292,0.393,0.685,0.296,-0.28,6300,3800
정진기,SK,90,212,197,46,11,37,35,9,55,4,0.267,0.234,0.281,0.437,0.718,0.301,-0.28,6200,2900
김종민,NC,22,24,22,3,0,2,1,2,2,0,0.15,0.136,0.208,0.136,0.344,0.172,-0.28,5300,5500
정주현,LG,15,9,8,0,0,2,0,0,4,1,0,0,0,0,0,0,-0.28,5000,6000
정병곤,삼성,74,82,74,16,2,16,7,4,21,1,0.275,0.216,0.275,0.297,0.572,0.258,-0.3,4500,3500
도태훈,NC,32,51,47,9,1,3,4,4,7,0,0.205,0.191,0.255,0.277,0.532,0.239,-0.33,3000,2700
최윤석,한화,21,33,32,7,0,3,2,0,6,0,0.269,0.219,0.219,0.219,0.438,0.196,-0.35,4800,5200
박정음,넥센,81,162,140,34,2,26,15,9,39,3,0.32,0.243,0.323,0.329,0.652,0.297,-0.36,5500,6600
임훈,LG,42,85,82,24,0,8,7,2,16,1,0.364,0.293,0.318,0.305,0.623,0.284,-0.39,7000,10000
신종길,KIA,64,90,83,20,1,13,10,3,13,2,0.268,0.241,0.278,0.361,0.639,0.275,-0.43,7000,9800
국해성,두산,57,96,86,18,3,15,17,5,23,0,0.246,0.209,0.281,0.349,0.63,0.278,-0.43,5000,5000
김인태,두산,31,44,43,8,2,5,4,1,11,0,0.2,0.186,0.205,0.349,0.554,0.229,-0.43,3200,3000
김태연,한화,12,22,21,1,1,1,2,1,11,0,0,0.048,0.091,0.19,0.281,0.115,-0.43,3000,2700
신본기,롯데,128,381,325,77,5,49,47,25,76,5,0.289,0.237,0.313,0.317,0.63,0.286,-0.45,9000,5500
김지수,넥센,64,40,35,6,1,7,5,2,8,0,0.185,0.171,0.211,0.257,0.468,0.204,-0.47,6200,6200
강경학,한화,59,93,84,18,0,17,4,8,19,1,0.277,0.214,0.29,0.262,0.552,0.256,-0.49,5800,6200
윤병호,NC,49,58,55,11,0,11,2,2,10,2,0.244,0.2,0.228,0.255,0.483,0.216,-0.53,3500,3000
주효상,넥센,64,129,118,23,1,10,9,9,51,0,0.333,0.195,0.264,0.263,0.527,0.242,-0.53,3500,3000
김사훈,롯데,57,89,76,14,0,1,8,6,21,1,0.25,0.184,0.25,0.224,0.474,0.222,-0.54,4000,2900
김강민,SK,88,203,183,40,5,31,18,15,50,10,0.273,0.219,0.296,0.339,0.635,0.283,-0.56,60000,60000
김동욱,KT,83,223,209,60,4,28,24,6,44,1,0.337,0.287,0.309,0.388,0.697,0.301,-0.57,4000,3100
신성현,두산,21,38,36,5,0,3,3,2,15,0,0.238,0.139,0.184,0.194,0.378,0.169,-0.63,5700,5700
박기혁,KT,97,263,235,56,2,22,18,16,51,2,0.292,0.238,0.289,0.319,0.608,0.271,-0.64,15000,15000
김재현,넥센,70,88,84,14,2,6,6,3,27,0,0.218,0.167,0.205,0.262,0.467,0.205,-0.69,5000,5300
하준호,KT,101,226,196,44,3,31,18,21,57,9,0.299,0.224,0.311,0.337,0.648,0.291,-0.72,5700,5200
박승욱,SK,73,184,158,32,3,25,11,16,57,0,0.293,0.203,0.291,0.304,0.595,0.269,-0.74,4500,3500
김상호,롯데,80,114,101,23,0,7,7,11,22,0,0.291,0.228,0.316,0.277,0.593,0.273,-0.79,6200,6000
백상원,삼성,28,51,46,6,0,4,2,3,11,0,0.167,0.13,0.18,0.13,0.31,0.151,-0.82,6000,9000
강승호,LG,85,268,248,62,5,42,31,7,67,2,0.311,0.25,0.272,0.383,0.655,0.277,-0.83,6600,3500
이지영,삼성,105,336,302,72,0,31,26,20,40,4,0.272,0.238,0.294,0.285,0.579,0.263,-0.9,21000,26000
이대형,KT,100,366,337,90,0,51,24,24,54,23,0.317,0.267,0.315,0.309,0.624,0.281,-1.07,20000,30000
김민식,KIA,135,391,351,78,4,39,40,26,55,3,0.252,0.222,0.284,0.293,0.577,0.261,-1.07,15000,6000
장민석,한화,88,327,299,83,1,38,21,15,58,8,0.34,0.278,0.311,0.318,0.629,0.283,-1.08,11000,10000
채은성,LG,114,372,333,89,2,28,35,17,66,5,0.327,0.267,0.323,0.339,0.662,0.298,-1.12,11000,16000
김주형,KIA,57,116,106,18,0,11,10,8,13,0,0.191,0.17,0.233,0.217,0.45,0.21,-1.2,7500,11000
이동훈,한화,67,145,131,29,0,23,2,5,15,4,0.25,0.221,0.255,0.221,0.476,0.222,-1.32,3300,2800
